5,10,12,50,512
5,10,12,50,553
5,10,16,50,536
5,10,16,50,531
5,10,12,50,537
5,10,16,50,513
5,10,14,50,499
5,10,15,50,486
5,10,12,50,481
5,10,12,50,510
5,10,18,500,4939
5,10,18,500,4911
5,10,15,500,5020
5,10,17,500,5418
5,10,17,500,5178
5,10,14,500,5172
5,10,18,500,4858
5,10,17,500,5259
5,10,17,500,5072
5,10,18,500,5101
5,10,18,1000,10129
5,10,18,1000,9826
5,10,17,1000,10189
5,10,18,1000,9340
5,10,15,1000,10256
5,10,19,1000,9721
5,10,16,1000,10399
5,10,14,1000,9901
5,10,17,1000,10319
5,10,19,1000,9966
7,10,17,50,940
7,10,19,50,959
7,10,26,50,998
7,10,28,50,956
7,10,16,50,922
7,10,22,50,922
7,10,26,50,895
7,10,28,50,923
7,10,21,50,913
7,10,20,50,962
7,10,36,500,9477
7,10,35,500,9870
7,10,36,500,9269
7,10,34,500,8827
7,10,37,500,9061
7,10,38,500,9429
7,10,36,500,9263
7,10,37,500,11071
7,10,37,500,9168
7,10,31,500,11425
7,10,38,1000,19412
7,10,36,1000,18247
7,10,37,1000,19094
7,10,40,1000,19239
7,10,35,1000,18423
7,10,38,1000,19165
7,10,36,1000,19126
7,10,39,1000,20010
7,10,36,1000,18160
7,10,37,1000,24307
9,10,30,50,1559
9,10,14,50,1529
9,10,23,50,1352
9,10,20,50,1440
9,10,18,50,1399
9,10,19,50,1462
9,10,22,50,1470
9,10,25,50,1488
9,10,19,50,1486
9,10,27,50,1521
9,10,54,500,14183
9,10,60,500,13631
9,10,55,500,14401
9,10,60,500,14858
9,10,53,500,14612
9,10,56,500,14954
9,10,55,500,14208
9,10,56,500,14502
9,10,57,500,14792
9,10,58,500,17598
9,10,62,1000,31700
9,10,66,1000,30863
9,10,66,1000,32321
9,10,66,1000,30468
9,10,63,1000,29884
9,10,67,1000,29716
9,10,59,1000,29742
9,10,59,1000,29315
9,10,66,1000,31588
9,10,61,1000,33239
11,10,18,50,2280
11,10,15,50,2279
11,10,14,50,2193
11,10,18,50,2177
11,10,10,50,2279
11,10,16,50,2290
11,10,12,50,2211
11,10,15,50,2261
11,10,24,50,2151
11,10,20,50,2329
11,10,74,500,20723
11,10,82,500,20760
11,10,77,500,21002
11,10,76,500,20752
11,10,68,500,20701
11,10,75,500,20655
11,10,74,500,21187
11,10,84,500,23328
11,10,84,500,20862
11,10,77,500,21909
11,10,92,1000,44045
11,10,91,1000,43842
11,10,92,1000,43542
11,10,93,1000,46369
11,10,93,1000,45263
11,10,87,1000,41666
11,10,88,1000,41696
11,10,89,1000,43063
11,10,94,1000,46094
11,10,94,1000,54611


5,4,10,50,211
5,4,15,50,194
5,4,10,50,208
5,4,10,50,212
5,4,12,50,233
5,4,9,50,239
5,4,9,50,221
5,4,11,50,240
5,4,11,50,212
5,4,15,50,212
7,4,10,50,397
7,4,11,50,398
7,4,13,50,429
7,4,16,50,405
7,4,16,50,390
7,4,12,50,405
7,4,10,50,380
7,4,21,50,407
7,4,18,50,398
7,4,7,50,411
9,4,15,50,632
9,4,12,50,624
9,4,9,50,679
9,4,8,50,628
9,4,8,50,588
9,4,11,50,667
9,4,9,50,670
9,4,8,50,613
9,4,7,50,660
9,4,11,50,671
11,4,11,50,958
11,4,11,50,933
11,4,9,50,900
11,4,7,50,956
11,4,11,50,923
11,4,9,50,960
11,4,7,50,977
11,4,8,50,911
11,4,9,50,1002
11,4,8,50,1023
