5,7,50,66
5,10,50,64
5,4,50,69
5,4,50,54
5,9,50,66
5,5,50,61
5,5,50,61
5,6,50,59
5,7,50,61
5,4,50,50
5,16,500,520
5,14,500,535
5,11,500,504
5,16,500,508
5,13,500,483
5,13,500,496
5,16,500,487
5,13,500,512
5,14,500,463
5,16,500,512
5,16,1000,1074
5,18,1000,1045
5,16,1000,1023
5,18,1000,983
5,13,1000,947
5,14,1000,995
5,15,1000,1075
5,16,1000,987
5,15,1000,986
5,17,1000,1040
7,6,50,95
7,6,50,108
7,4,50,97
7,9,50,95
7,7,50,113
7,5,50,105
7,9,50,102
7,9,50,93
7,4,50,106
7,12,50,100
7,13,500,981
7,18,500,929
7,25,500,934
7,22,500,1006
7,18,500,954
7,25,500,942
7,24,500,868
7,20,500,931
7,15,500,973
7,21,500,869
7,29,1000,1902
7,25,1000,1756
7,24,1000,1944
7,32,1000,2037
7,30,1000,1878
7,22,1000,1877
7,25,1000,1964
7,24,1000,1864
7,28,1000,1836
7,32,1000,1922
9,8,50,171
9,11,50,172
9,8,50,166
9,10,50,170
9,10,50,168
9,8,50,170
9,9,50,155
9,9,50,166
9,9,50,166
9,10,50,168
9,13,500,1639
9,29,500,1509
9,15,500,1513
9,18,500,1594
9,19,500,1599
9,22,500,1499
9,18,500,1443
9,32,500,1475
9,22,500,1431
9,21,500,1540
9,26,1000,3087
9,35,1000,3084
9,31,1000,2947
9,36,1000,2847
9,30,1000,2903
9,38,1000,3077
9,32,1000,2958
9,32,1000,2862
9,25,1000,2970
9,31,1000,2876
11,8,50,218
11,9,50,219
11,8,50,225
11,11,50,221
11,10,50,224
11,14,50,214
11,8,50,236
11,8,50,213
11,10,50,211
11,10,50,228
11,25,500,2101
11,12,500,2205
11,15,500,2174
11,28,500,2082
11,13,500,2331
11,14,500,2299
11,20,500,2190
11,10,500,2253
11,16,500,2192
11,17,500,2414
11,16,1000,4702
11,37,1000,4290
11,37,1000,3985
11,18,1000,4551
11,35,1000,4042
11,17,1000,4163
11,34,1000,4218
11,36,1000,4208
11,41,1000,5062
11,24,1000,5736

